episode,reward
0,-0.018
100,0.036
200,0.016
300,0.021
400,0.02
500,-0.013
600,0.001
700,-0.01
800,0.001
900,0.026
1000,0.04
1100,0.045
1200,0.048
1300,0.066
1400,-0.005
1500,0.04
1600,0.023
1700,0.06
1800,0.013
1900,0.012
2000,0.048
2100,0.013
2200,0.042
2300,0.055
2400,-0.02
2500,0.024
2600,-0.007
2700,0.023
2800,0.027
2900,-0.002
3000,0.011
3100,0.013
3200,0.079
3300,0.025
3400,0.025
3500,-0.005
3600,0.008
3700,0.045
3800,0.023
3900,0.007
4000,0.01
4100,0.041
4200,0.007
4300,0.087
4400,0.03
4500,0.023
4600,0.027
4700,0.03
4800,0.041
4900,-0.026
